id,price,room_type,property_type,neighbourhood_cleansed,neighbourhood_norm,accommodates,bedrooms,beds,bathrooms,minimum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,host_is_superhost,is_commercial_host,calculated_host_listings_count,host_tenure_years,instant_bookable,latitude,longitude,dist_city_center_km,amenities_count,has_wifi,has_kitchen,has_washer,has_pool,has_pets_allowed,has_free_parking,has_workspace,has_aircon
1138421100753242487,540.0,Private room,Private room in home,Dublin City,Unknown,5,1.0,1.0,1.0,1,145,0,0.0,,False,0,1,5.779603011635865,False,53.370013584556176,-6.264186115117679,2.2644603429311054,8,1,1,0,0,0,1,0,0
1138652840275654864,55.0,Private room,Private room in home,Dublin City,Unknown,2,1.0,1.0,1.0,1,175,6,0.37,5.0,False,0,1,7.132101300479124,False,53.38191944934292,-6.320725314068031,5.381272426460324,28,1,1,0,0,0,1,0,0
1138940792188374876,165.0,Entire home/apt,Entire rental unit,Dublin City,D2,4,2.0,2.0,2.0,35,334,2,0.13,4.0,False,1,83,7.761806981519507,True,53.34503,-6.23417,1.8193545743279016,36,1,1,1,0,0,0,1,0
1138940955825029888,165.0,Entire home/apt,Entire rental unit,Dublin City,D2,4,2.0,2.0,2.0,35,343,3,0.18,4.33,False,1,83,7.761806981519507,True,53.34503,-6.23417,1.8193545743279016,36,1,1,1,0,0,0,1,0
1139085605124687960,60.0,Private room,Private room in home,Fingal,Unknown,2,1.0,1.0,1.5,1,244,134,7.98,4.78,True,0,2,2.2778918548939084,False,53.52697,-6.17893,20.446072690749222,10,1,1,1,0,0,1,0,0
1139092428605815847,292.0,Entire home/apt,Entire home,Dublin City,Unknown,4,2.0,2.0,1.5,2,213,8,0.51,4.88,False,0,1,2.1245722108145104,False,53.3282015,-6.2877664,3.0208041050661043,19,1,1,1,0,1,1,1,0
1139196531330729658,92.0,Private room,Private room in condo,Fingal,Unknown,2,1.0,1.0,1.0,2,27,17,1.02,4.88,True,0,1,8.867898699520875,False,53.41822805024668,-6.144612953066826,10.828373186309976,48,1,1,1,0,0,1,1,0
1139243366028982922,61.0,Private room,Private room in rental unit,Dublin City,Unknown,2,1.0,3.0,1.0,7,138,41,2.77,4.73,False,0,3,2.598220396988364,False,53.34460036847936,-6.276842840015888,1.2444427668630442,34,1,1,1,0,0,0,0,0
1139766773598998873,428.0,Entire home/apt,Entire home,Fingal,Unknown,4,2.0,0.0,2.0,3,255,6,0.41,4.83,False,0,1,3.8603696098562628,False,53.37532,-6.05353,14.055344706796847,28,1,1,1,0,0,1,0,0
1139828021605390241,457.0,Entire home/apt,Entire home,Dublin City,D9,5,3.0,3.0,1.0,1,353,6,0.4,4.83,False,0,2,12.131416837782341,False,53.3758,-6.25865,2.8957044923981594,34,1,1,1,0,0,1,1,0
1139844147317073281,128.0,Private room,Private room in rental unit,Dublin City,Unknown,2,1.0,0.0,1.0,3,256,0,0.0,,False,0,1,8.019164955509925,False,53.34517709083036,-6.238784765606697,1.5224202361696788,7,1,1,1,0,0,0,0,0
1139858346926344316,47.0,Private room,Private room in condo,Fingal,Unknown,1,1.0,1.0,1.0,3,49,50,4.3,4.88,True,0,1,9.415468856947296,False,53.44235,-6.19662,11.137283118466835,24,1,0,0,0,0,1,0,0
1140422186986383903,78.0,Private room,Private room in home,Dn Laoghaire-Rathdown,Unknown,1,1.0,1.0,1.0,2,142,46,2.84,4.98,True,0,1,9.66735112936345,False,53.29077,-6.12902,10.940479786746595,31,1,0,0,0,0,1,0,0
1140673500178261975,234.0,Entire home/apt,Entire home,South Dublin,D22,5,3.0,3.0,2.0,4,66,15,1.05,5.0,True,0,1,1.4017796030116358,False,53.3168529,-6.401673499999999,10.106777892569422,50,1,1,1,0,0,1,0,0
1140695080912611551,120.0,Entire home/apt,Entire rental unit,Dublin City,Unknown,2,1.0,1.0,1.0,28,269,0,0.0,,False,0,1,5.0978781656399725,False,53.32225,-6.2684,3.1132268976829454,6,1,1,1,0,0,0,1,0
1140955435009439361,436.0,Entire home/apt,Entire home,Fingal,Unknown,7,5.0,4.0,3.0,5,163,8,0.51,4.75,False,0,1,9.319644079397673,True,53.42931,-6.13073,12.353801447623516,40,1,1,1,0,0,0,0,0
1141069924024925105,156.0,Entire home/apt,Entire rental unit,Dublin City,Unknown,2,1.0,1.0,1.5,2,85,33,1.96,4.82,,0,4,1.6919917864476386,False,53.35265864443976,-6.263714034200269,0.3910279086590737,41,1,1,0,0,0,0,0,0
1141270296876912441,150.0,Private room,Private room in home,Dublin City,Unknown,2,1.0,1.0,1.0,1,261,1,0.06,5.0,False,0,2,12.131416837782341,False,53.3762,-6.25745,2.9442573192443358,36,1,1,1,0,0,1,1,0
1142165214731997718,405.0,Entire home/apt,Entire home,Dublin City,Unknown,6,3.0,3.0,1.0,2,14,24,1.62,5.0,False,0,1,10.655715263518138,False,53.33262,-6.27417,2.1234989418772,41,1,1,1,0,1,0,1,0
1142206003156846413,173.0,Entire home/apt,Entire rental unit,Fingal,Unknown,2,1.0,1.0,1.0,30,268,0,0.0,,False,0,1,1.3963039014373717,True,53.39655,-6.44123,13.118075610979915,16,1,1,1,0,1,1,1,0
1143315461067422099,261.0,Entire home/apt,Entire home,Dublin City,Unknown,4,2.0,2.0,1.0,2,89,23,1.51,4.91,True,0,1,11.288158795345653,False,53.33407,-6.29258,2.772606173396168,47,1,1,1,0,0,0,0,0
1143371881147966346,71.0,Private room,Private room in home,Dublin City,Unknown,1,1.0,1.0,1.0,3,15,22,1.38,5.0,True,0,1,11.225188227241615,False,53.32393664752484,-6.312094404754638,4.493229525349507,9,1,0,1,0,0,0,1,0
1143393674421388106,284.0,Entire home/apt,Entire home,Fingal,Unknown,7,4.0,0.0,1.5,4,220,1,0.65,3.0,False,0,1,10.99794661190965,False,53.40886806995233,-6.174106938989385,8.724488837652384,47,1,1,1,0,0,1,0,0
1143425300203090173,208.0,Entire home/apt,Entire home,Dn Laoghaire-Rathdown,Monkstown,6,4.0,4.0,2.0,1,292,13,0.86,5.0,True,0,1,1.3908281998631074,False,53.29586,-6.16554,8.712550671819175,31,1,1,1,0,0,0,1,0
1144162275182191680,103.0,Private room,Private room in condo,South Dublin,Unknown,2,1.0,1.0,1.0,1,84,1,0.35,5.0,False,0,1,6.620123203285421,False,53.2799505,-6.316460699999999,8.627884932137778,26,1,1,1,0,0,1,1,0
1144196493104498455,85.0,Entire home/apt,Entire cottage,Dublin City,Unknown,2,1.0,1.0,1.0,3,30,12,0.73,4.75,False,0,1,10.171115674195756,False,53.351363234156295,-6.284120678901672,1.595782009904257,35,1,1,1,0,0,0,0,0
1144276143533492477,140.0,Entire home/apt,Entire rental unit,Dublin City,Unknown,2,1.0,1.0,1.0,3,70,7,0.46,5.0,False,0,1,9.582477754962355,False,53.3292,-6.26048,2.29265996881215,15,0,1,1,0,0,1,1,0
1144339054991738584,82.0,Private room,Private room in home,Dublin City,Unknown,2,1.0,0.0,1.0,2,55,1,0.16,3.0,False,1,6,1.3880903490759753,False,53.317783342755845,-6.288415187797464,4.025491143136346,11,1,1,1,0,0,1,0,0
1144659801476685114,426.0,Entire home/apt,Entire home,Fingal,Unknown,6,3.0,3.0,3.0,1,167,2,0.15,3.5,False,0,1,1.3853524982888432,True,53.47376,-6.2494,13.815032092227106,7,1,1,1,0,0,1,1,0
1144703133052399938,90.0,Private room,Private room in home,Dublin City,Unknown,2,1.0,1.0,2.0,1,18,47,2.86,4.91,True,0,2,2.2532511978097194,False,53.37125,-6.25935,2.3880735353009785,9,1,1,1,0,0,1,0,0
1144756982303781196,68.0,Private room,Private room in home,Dublin City,Unknown,2,1.0,0.0,2.0,2,40,1,0.26,3.0,False,1,6,1.3880903490759753,False,53.31768,-6.28874,4.045764194732564,11,1,1,1,0,0,1,0,0
1144763626178447734,68.0,Private room,Private room in home,Dublin City,Unknown,2,1.0,0.0,1.0,2,57,2,0.24,4.0,False,1,6,1.3880903490759753,False,53.31787,-6.28814,4.0084409189850465,12,1,1,1,0,0,1,0,0
